,ASSETID,PERIOD,PRICE,UNITPRICE,ADTYPOLOGYID,ADOPERATIONID,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,LONGITUDE,LATITUDE,CITYNAME,ADTYPOLOGY,ADOPERATION
82290,A8719805125184721195,201812,144000,2215.38461538462,HOME,SALE,65,1,1,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1954.0,3.0,1.0,1954,4,9,6.0,0,0,1,3.299101135278151,0.2229732957867953,2.484841425516778,-3.72434912258241,40.3914262683633,Madrid,HOME,SALE
43557,A6166085178997373067,201812,330000,3267.32673267327,HOME,SALE,101,3,1,0,1,0,3,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,,1.0,2.0,1920,7,35,6.0,0,1,0,2.372267373061692,0.0336147944703716,1.052292959523931,-3.68065074868402,40.4046017574974,Madrid,HOME,SALE
82306,A18258083518388730448,201812,216000,2400.0,HOME,SALE,90,4,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,1.0,1970,4,15,7.0,0,0,1,3.004965410224634,0.362201312275668,2.0813692693961694,-3.71952867330518,40.3924023173361,Madrid,HOME,SALE
54877,A4753197516914210209,201806,233000,3025.97402597403,HOME,SALE,77,3,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1970.0,5.0,1.0,1970,11,46,5.0,0,0,1,7.766573344859061,0.3872765563779145,3.5374639281181244,-3.64518086863116,40.4702376884399,Madrid,HOME,SALE
71335,A6651657581427417513,201812,182000,3640.0,HOME,SALE,50,0,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,,1930,6,11,6.0,0,0,1,3.6659305377373497,0.1120529335856305,2.086830349824362,-3.66427193046295,40.429985428466,Madrid,HOME,SALE
34717,A9068214420311540628,201806,170000,4857.14285714286,HOME,SALE,35,2,2,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,1.0,1926,4,8,4.0,0,0,1,0.7640801249532478,0.2908960746302035,0.986102475119006,-3.70434469412688,40.4097391571141,Madrid,HOME,SALE
21071,A915588837687024320,201809,487000,4234.78260869565,HOME,SALE,115,3,2,1,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,2.0,1.0,1948,6,18,5.0,0,0,1,0.990056685352642,0.1171633403097572,1.270249456501678,-3.70618090330448,40.4252955787257,Madrid,HOME,SALE
624,A17879329569712459483,201803,180000,2337.66233766234,HOME,SALE,77,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0.0,1.0,1922,5,22,5.0,0,0,1,0.9152495567162058,0.2266891331246533,0.5144176388537529,-3.6985191810918,40.4094141362971,Madrid,HOME,SALE
923,A7258063456580298421,201803,146000,4171.42857142857,HOME,SALE,35,2,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,2.0,2.0,1972,6,21,4.0,0,0,1,0.8969038592260558,0.0410476502615305,0.7049521161882314,-3.70125852603719,40.4087669203705,Madrid,HOME,SALE
51554,A11137920904834372750,201812,694000,4058.47953216374,HOME,SALE,171,3,2,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1953.0,1.0,1.0,1953,7,13,5.0,0,1,0,3.235132611565852,0.3309286842871379,1.534214585259248,-3.67066030513659,40.4310296289289,Madrid,HOME,SALE
